Licence_Class,Licence_Type,Age_Group,Gender,Count,RPT_DATE
Car Licence,Full,18,F,1,01/08/2019
Car Licence,Full,18,M,2,01/08/2019
Car Licence,Full,19,F,12,01/08/2019
Car Licence,Full,19,M,24,01/08/2019
Car Licence,Full,20,F,1151,01/08/2019
Car Licence,Full,20,M,1150,01/08/2019
Car Licence,Full,20,S,1,01/08/2019
Car Licence,Full,21,F,1875,01/08/2019
Car Licence,Full,21,M,1859,01/08/2019
Car Licence,Full,21,S,1,01/08/2019
Car Licence,Full,22,F,2151,01/08/2019
Car Licence,Full,22,M,2258,01/08/2019
Car Licence,Full,23,F,2501,01/08/2019
Car Licence,Full,23,M,2678,01/08/2019
Car Licence,Full,23,S,1,01/08/2019
Car Licence,Full,24,F,2823,01/08/2019
Car Licence,Full,24,M,2878,01/08/2019
Car Licence,Full,24,S,2,01/08/2019
Car Licence,Full,25,F,2453,01/08/2019
Car Licence,Full,25,M,2410,01/08/2019
Car Licence,Full,25,S,1,01/08/2019
Car Licence,Full,26,A,1,01/08/2019
Car Licence,Full,26,F,2733,01/08/2019
Car Licence,Full,26,M,2776,01/08/2019
Car Licence,Full,27,F,2941,01/08/2019
Car Licence,Full,27,M,3195,01/08/2019
Car Licence,Full,27,S,1,01/08/2019
Car Licence,Full,27,U,3,01/08/2019
Car Licence,Full,28,F,3348,01/08/2019
Car Licence,Full,28,M,3421,01/08/2019
Car Licence,Full,28,S,1,01/08/2019
Car Licence,Full,28,U,2,01/08/2019
Car Licence,Full,29,F,3506,01/08/2019
Car Licence,Full,29,M,3573,01/08/2019
Car Licence,Full,29,S,5,01/08/2019
Car Licence,Full,29,U,1,01/08/2019
Car Licence,Full,30,F,2970,01/08/2019
Car Licence,Full,30,M,2902,01/08/2019
Car Licence,Full,30,S,2,01/08/2019
Car Licence,Full,30,U,1,01/08/2019
Car Licence,Full,31,F,3182,01/08/2019
Car Licence,Full,31,M,3084,01/08/2019
Car Licence,Full,31,U,3,01/08/2019
Car Licence,Full,32,F,3348,01/08/2019
Car Licence,Full,32,M,3331,01/08/2019
Car Licence,Full,32,S,1,01/08/2019
Car Licence,Full,33,F,3637,01/08/2019
Car Licence,Full,33,M,3514,01/08/2019
Car Licence,Full,33,S,2,01/08/2019
Car Licence,Full,33,U,1,01/08/2019
Car Licence,Full,34,F,3915,01/08/2019
Car Licence,Full,34,M,3761,01/08/2019
Car Licence,Full,34,U,1,01/08/2019
Car Licence,Full,35,F,3201,01/08/2019
Car Licence,Full,35,M,3113,01/08/2019
Car Licence,Full,35,S,1,01/08/2019
Car Licence,Full,35,U,2,01/08/2019
Car Licence,Full,36,F,3354,01/08/2019
Car Licence,Full,36,M,3217,01/08/2019
Car Licence,Full,36,U,1,01/08/2019
Car Licence,Full,37,F,3416,01/08/2019
Car Licence,Full,37,M,3264,01/08/2019
Car Licence,Full,37,U,2,01/08/2019
Car Licence,Full,38,F,3409,01/08/2019
Car Licence,Full,38,M,3379,01/08/2019
Car Licence,Full,38,U,1,01/08/2019
Car Licence,Full,39,F,3404,01/08/2019
Car Licence,Full,39,M,3267,01/08/2019
Car Licence,Full,39,S,1,01/08/2019
Car Licence,Full,40,F,2787,01/08/2019
Car Licence,Full,40,M,2616,01/08/2019
Car Licence,Full,40,S,1,01/08/2019
Car Licence,Full,41,F,2904,01/08/2019
Car Licence,Full,41,M,2777,01/08/2019
